Content,Sentiment Score,Sentiment Magnitude
"I often wonder how many others are sitting near me, stuck in their own quiet battles with physical or mental or spiritual health, afraid or unwilling or even unable to discuss them, silently pleading for someone to extend any added amount of grace Carlee J Hansen #anxiety #quotes",-0.4000000059604645,0.4000000059604645
and a major fear of mine for a long time…….. #anxiety,-0.699999988079071,0.699999988079071
i'm tired. not like sleepy tired just tired of everything. I’m broken #mentalhealth#mentalillness #anxiety #sad,-0.5,1.899999976158142
Anxiety has a stronger presence in the room the more you try to push it out. Try letting it be there. You don’t have to be ok with it. Just tolerate it. Its intensity and importance will soon fade. You’ve got this.n,-0.10000000149011612,1.0
Please if you can I could really use the help. I suffer from anxiety and I work 55hrs a week and in school. I have a son and I’m a single father.  I have falling behind and need help. #depression #anxiety #help,-0.4000000059604645,2.0999999046325684
I have stress about feeling hopeless in my situation… Sometimes on the outside I look happy and comfortable but at the inside I am going insane …all is grey and dark! even when the sun shines and the skies are blue …. #mentalillness #anxiety,-0.30000001192092896,1.600000023841858
JFC I suck at posting across different apps. Always afraid I'll annoy people 🤦‍♀️ #crossposting #tiktok #Instagram #introvert #anxiety,-0.6000000238418579,1.2999999523162842
"Sometimes we trick ourselves into thinking audiobooks, videos, blog posts is what we need. When in truth we’re just distracting ourselves from what we fear the most which is being one with and allowing thoughts and feelings to move through us. #anxiety",-0.30000001192092896,1.600000023841858
"Talking about the trauma that took place a year ago... I who thought that it had healed well it failed, during the discussion with my superiors and the fact that when we came to talk about it, (1/3) #stress #anxiety",-0.5,1.100000023841858
"Behind this photo is someone who is struggling with #anxiety and #ptsd, along with long term neck and shoulder issues. Yet somehow I manage to put a smile on my face as best as I can #mentalhealth",0.20000000298023224,0.800000011920929
I stretched one night and felt excruciating pain in my left rib. I could barely move. I managed to get to a hospital and was told it was costochondritis — inflammation of the cartilage connecting the ribs to the sternum — and anxiety. They gave me an anti-inflammatory medication and told me I’d be good. ,-0.5,3.0
"I decided to stop this but I did it for 3 years after my Dad died and I moved back home to be closer to family. I was 3 years sober, the pandemic happened, rejected by family. I got tired of this. I have my Days but they are more seldom. I think I had to do this. I’m glad it is over.",-0.30000001192092896,2.4000000953674316
,0.0,0.0
"This happened to me 1st time at 10yr old and I couldn't explain other than I feel like its hard to breathe so my dad took me to ER and after they proceeded to tell him it was a panic attack, I got in trouble for 'faking being sick' can't imagine why I mightve been having panick attacks at 1",-0.800000011920929,0.800000011920929
This is happening a lot lately I can't complete my yawn and then the shallow breathing and panic sets in,-0.800000011920929,0.800000011920929
his happens ALL the time even just hanging out in my living room. Anxiety symptoms have become so consistent I've just kind of started to ignore them,-0.5,1.100000023841858
his happens ALL the time even just hanging out in my living room. Anxiety symptoms have become so consistent I've just kind of started to ignore them,-0.5,1.100000023841858
"Okay, get this: anxiety, asthma, non-epileptic seizures induced by anxiety. First came anxiety, then the asthma and now I have anxiety seizures. Or so the doctor says. Idk. I'm kinda fkn done. I hate it here. ",-0.4000000059604645,2.700000047683716
Thanks now I forgot how to breathe,0.6000000238418579,0.6000000238418579
Well it suppresses the physical effects of anxiety so I could see it making just about everything more tolerable.,0.699999988079071,0.699999988079071
"YTA.  Her greatest fear just got confirmed, she can easily be disposed of by both parents.  I can’t imagine the anxiety she suffers from and instead of reassuring her and confirming she always has a home with him , your brother looks for a way to abandon her and you condone his behavior!  ",-0.20000000298023224,1.2999999523162842
"I attribute a lot of my social anxiety to this. It sucks that the model taught by schools (be quiet and listen) is the direct opposite of what's actually needed in adult life (basic social skills, networking, the ability to stand up for yourself)",-0.699999988079071,1.399999976158142
"I know ‘did their best’ is lenient. I guess I meant they certainly tried to do the right thing, and in my dad’s case knew he was failing and showed remorse for it. I wonder if they had had mental help if it would have changed the outcome. I haven’t read any of the books you’re all recommending- my whole life I have for the most part tried to avoid non-fiction and heavy topics. It’s probably not the healthy thing to do, I know, but it’s helped me regulate my anxiety and sleep at night.",0.10000000149011612,2.5999999046325684
"An old job of mine would hold company wide mental health awareness days, all while my boss is telling me my crippling anxiety and depression is not a good enough reason to take time off sick.",-0.6000000238418579,0.6000000238418579
This is exactly why I started doing drugs. Painkillers and meth removed my anxiety and let me feel just normal and able to function around other people. Then one day I got anxiety while high on meth and it never went away while high. And because you're on meth the anxiety gets multiplied by 100. I had to be very careful about what I did around other people because I would be shaking so bad that it would give me away. Literally couldn't hold a pen and write my name.,-0.4000000059604645,4.5
"The pandemic definitely opened the door up for more school avoidance after students learned remotely. At one point I had struggled with school avoidance, which did come from anxiety, depression, and eventually a lack of will to continue living. My circumstances were pretty different from those of most however, so I would imagine that for the majority of people the pandemic and even just modern technology probably plays into school avoidance as a whole.",0.0,0.30000001192092896
Until the anxiety comes in so you can’t even sleep so it’s insomnia.,-0.4000000059604645,0.4000000059604645
As a kid I had anxiety and my heart would race. Fast. It felt like a hummingbird in my chest and would abruptly pause and resume a normal pace after a few minutes.At age 23 I had a bad reaction to a tricyclic antidepressant called imipramine and was rushed to the hospital. They ran an EKG and that rapid heart rate was a congenital defect known as Wolfe Parkinson White syndrom. Basically I had an accessory or 2nd electrical system in my heart that would cause a “short circuit” occasionally and my heart rate would skyrocket. It was cured via a procedure using radio waves to form scar tissue around the accessory node because the impulse could not conduct through the tissue.,0.0,2.0999999046325684
Shit like this is why people get anxiety,-0.699999988079071,0.699999988079071
